flag,cst_unn_id,bas_inf,act,zx
1,39188642,31,12,10
1,37376232,50,28,25
1,37266081,10,12,5
1,32843491,10,12,-30
1,39558579,10,-10,-60
1,30631466,13,22,105
1,30384209,20,12,-20
1,40857892,10,15,-50
1,34618931,10,0,-55
1,41747604,15,-3,-60
1,30875384,13,12,20
1,36496836,17,5,-40
1,40897433,22,10,-95
1,43697898,10,-3,-70
1,35783433,10,-3,-45
1,37471025,10,-15,-55
1,41351609,18,7,30
1,32964514,15,15,25
1,36165459,10,5,-70
1,36262694,18,-5,-50
1,34583598,10,12,50
1,40902251,10,-3,-10
1,80016732,15,7,-80
1,39244424,5,2,-30
1,35558044,5,-5,10
1,32931034,17,7,-40
1,35091727,13,7,90
1,34568456,10,-8,-60
1,30689997,15,5,-25
1,35867118,1,7,35
1,36989320,10,7,45
1,35975707,0,0,-105
1,37825040,8,17,85
1,33884462,10,12,-30
1,32586436,15,7,75
1,31828588,8,7,75
1,36163451,15,7,5
1,42184266,10,8,-80
1,37861721,17,7,5
1,36848110,15,30,50
1,37633252,6,-3,70
1,40862434,6,10,10
1,42083049,12,7,-25
1,42179729,5,7,-65
1,41575850,15,15,40
1,43483940,1,15,-25
1,40765248,15,-3,-85
1,34381804,13,2,-20
1,32965050,13,2,50
1,33909137,10,12,15
1,32250120,3,22,80
1,36687771,13,12,110
1,30430408,8,17,110
1,38421859,15,10,25
1,40278547,10,-10,0
1,43587861,13,13,-45
1,37162895,8,7,-75
1,37268300,40,12,65
1,30912707,15,22,80
1,39168520,35,7,20
1,41155833,8,-3,-50
1,37943544,15,10,-20
1,35014934,10,22,120
1,40629420,15,0,15
1,43779546,11,-20,-110
1,35962320,12,12,40
1,30478392,10,22,95
1,32940574,15,17,75
1,39163871,10,18,-75
1,38956124,40,7,50
1,37683706,10,7,100
1,34547043,12,15,-55
1,40897577,10,-3,-60
1,35447028,15,22,120
1,35926942,12,8,-10
1,37870311,10,10,95
1,32914696,8,17,120
1,34017058,15,30,45
1,36385282,10,17,65
1,42301483,24,5,20
1,43957948,10,18,-65
1,38882998,-12,12,90
1,32935568,15,20,45
1,40591473,15,-5,-30
1,33962958,10,15,10
1,39111507,12,17,-10
1,30094383,15,30,10
1,35970043,15,10,-25
1,34160793,13,0,-75
1,39163043,10,10,25
1,41006355,42,12,-25
1,39129370,20,0,-5
1,30511454,15,7,80
1,42190252,1,15,-75
1,34037043,15,-3,-25
1,39085749,10,17,20
1,34755058,8,7,115
1,43114893,7,10,-35
1,34567547,11,0,-15
1,40406290,15,7,65
1,39163407,10,10,-45
1,36864209,22,-2,-40
1,30814375,11,15,25
1,39252614,35,23,-85
1,39453224,40,7,30
1,37629686,15,7,65
1,35187011,10,-5,-20
1,42234744,10,0,-75
1,43822533,5,15,-20
1,36343417,13,7,80
1,43616098,18,-5,-15
1,35741130,13,-3,110
1,38699756,5,25,20
1,43750494,37,7,30
1,41090284,15,-15,-25
1,36549843,16,12,60
1,37852057,8,12,15
1,39344985,19,15,-25
1,30878451,8,22,80
1,43040746,1,18,-65
1,37839396,5,10,30
1,35834131,-5,10,-15
